"song_id","track_name","track_artist","track_popularity","track_album_name","release_day","release_month","release_year","playlist_name","playlist_genre","playlist_sub_genre","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms"
"0q6ku8ljaoyoxs80gyrw8r_0q6ku8ljaoyoxs80gyrw8r_0q6ku8ljaoyoxs80gyrw8r","this is our song","demi lovato","44","camp rock 2: the final jam",1,1,"2010","post teen pop","pop","post-teen pop","0.351","0.626","7","-5.314","1","0.0358","0.0867","0","0.0937","0.394","129.568","178333"
"6rc5tejeye1m0ilnfzjf3k_6rc5tejeye1m0ilnfzjf3k_6rc5tejeye1m0ilnfzjf3k","gotta find you","joe jonas","45","camp rock ost",1,1,"2008","post teen pop","pop","post-teen pop","0.463","0.726","11","-5.126","1","0.03","0.0589","0","0.0861","0.473","82.006","241867"
"2jqrlt3hptcprvcfdsbwic_2jqrlt3hptcprvcfdsbwic_2jqrlt3hptcprvcfdsbwic","this is me","demi lovato","50","camp rock ost",1,1,"2008","post teen pop","pop","post-teen pop","0.497","0.822","1","-2.863","1","0.0399","0.011","0","0.0947","0.58","90.992","189173"
"6xg61phnclvqclejrt9p0v_6xg61phnclvqclejrt9p0v_6xg61phnclvqclejrt9p0v","what it takes","aaryn doyle","31","camp rock ost",1,1,"2008","post teen pop","pop","post-teen pop","0.71","0.871","2","-6.196","1","0.0794","0.369","3.52e-06","0.297","0.647","100.983","161920"
"0cnuwux6yemcqyscnwufav_0cnuwux6yemcqyscnwufav_0cnuwux6yemcqyscnwufav","dynamite","china anne mcclain","35","a.n.t. farm (original soundtrack)",1,1,"2012","post teen pop","pop","post-teen pop","0.659","0.789","6","-3.444","1","0.0717","0.184","0","0.0535","0.493","121.947","162960"
"34iodwktu3zdhujxpsaqe7_34iodwktu3zdhujxpsaqe7_34iodwktu3zdhujxpsaqe7","stuck on you","nick strand","39","stuck on you",20,9,"2019","post-teen alternative, indie, pop (large variety)","pop","post-teen pop","0.58","0.664","1","-2.866","0","0.0748","0.429","0","0.146","0.436","146.001","158467"
"7vmikopqugbv3q2z3he5e9_7vmikopqugbv3q2z3he5e9_7vmikopqugbv3q2z3he5e9","down low","astrid s","55","down low",26,9,"2019","post-teen alternative, indie, pop (large variety)","pop","post-teen pop","0.554","0.35","6","-5.378","0","0.0287","0.799","1.39e-06","0.317","0.333","86.331","202007"
"5weaztjeufeltaxqycqcjg_5weaztjeufeltaxqycqcjg_5weaztjeufeltaxqycqcjg","years","astrid s","69","down low",26,9,"2019","post-teen alternative, indie, pop (large variety)","pop","post-teen pop","0.664","0.285","9","-7.907","1","0.0342","0.855","0","0.0952","0.256","124.148","190268"
"4poybupy26ptwpr9zy1i7h_4poybupy26ptwpr9zy1i7h_4poybupy26ptwpr9zy1i7h","some say","nea","81","some say",6,9,"2019","post-teen alternative, indie, pop (large variety)","pop","post-teen pop","0.779","0.342","3","-6.316","0","0.0404","0.701","2.56e-06","0.132","0.482","104.993","175602"
"5vgbgpvfo3e0lwz4whyntq_5vgbgpvfo3e0lwz4whyntq_5vgbgpvfo3e0lwz4whyntq","all for love","tungevaag & raaban","68","all for love",23,3,"2018","post-teen alternative, indie, pop (large variety)","pop","post-teen pop","0.689","0.901","7","-1.431","1","0.0678","0.145","1.03e-05","0.459","0.651","125.115","180485"
"2jtuqzhqatno13o8klqsxe_2jtuqzhqatno13o8klqsxe_2jtuqzhqatno13o8klqsxe","boys like you","anna clendening","69","boys like you",1,6,"2018","post-teen alternative, indie, pop (large variety)","pop","post-teen pop","0.664","0.607","2","-8.822","1","0.113","0.23","0","0.164","0.541","95.958","187349"
"33nut06beliejyf4yjtgoh_33nut06beliejyf4yjtgoh_33nut06beliejyf4yjtgoh","slow dance (feat. ava max)","aj mitchell","41","slow dance",23,8,"2019","post-teen alternative, indie, pop (large variety)","pop","post-teen pop","0.692","0.443","1","-5.671","1","0.0386","0.214","0","0.06","0.363","127.899","178800"
"2y8ibf0qrqckftepi9rl2h_2y8ibf0qrqckftepi9rl2h_2y8ibf0qrqckftepi9rl2h","why do you love me","charlotte lawrence","68","why do you love me",19,7,"2019","post-teen alternative, indie, pop (large variety)","pop","post-teen pop","0.81","0.305","8","-6.165","0","0.0902","0.28","0.000116","0.203","0.732","120.013","171908"
"5naye7rlmzclfo1dkg48mk_5naye7rlmzclfo1dkg48mk_5naye7rlmzclfo1dkg48mk","all day and night","jax jones","75","snacks",12,7,"2019","post-teen alternative, indie, pop (large variety)","pop","post-teen pop","0.567","0.765","1","-4.107","0","0.108","0.317","0","0.14","0.541","121.924","169467"
"1mjygcniedo0tbpagcl1vo_1mjygcniedo0tbpagcl1vo_1mjygcniedo0tbpagcl1vo","sidelove","astrid s","54","down low",26,9,"2019","post-teen alternative, indie, pop (large variety)","pop","post-teen pop","0.753","0.343","8","-5.607","1","0.0337","0.799","0","0.104","0.511","137.872","172154"
"3zctvfbt2brf31rlenckwj_3zctvfbt2brf31rlenckwj_3zctvfbt2brf31rlenckwj","everything i wanted","billie eilish","97","everything i wanted",13,11,"2019","post-teen alternative, indie, pop (large variety)","pop","post-teen pop","0.704","0.225","6","-14.454","0","0.0994","0.902","0.657","0.106","0.243","120.006","245426"
"1ioqd1xvfgdomjxkkncbqb_1ioqd1xvfgdomjxkkncbqb_1ioqd1xvfgdomjxkkncbqb","doing to me","astrid s","66","trust issues",30,8,"2019","post-teen alternative, indie, pop (large variety)","pop","post-teen pop","0.718","0.762","0","-5.006","0","0.0571","0.284","1.58e-06","0.0971","0.368","132.893","190098"
"2nmeu6uenvvwuktbcplmk9_2nmeu6uenvvwuktbcplmk9_2nmeu6uenvvwuktbcplmk9","young and beautiful","lana del rey","75","young and beautiful",1,1,"2013","post-teen alternative, indie, pop (large variety)","pop","post-teen pop","0.324","0.416","11","-8.92","0","0.0368","0.262","3.69e-05","0.11","0.151","113.986","236053"
"2xu0oxnq2qxcpomaaujy8k_2xu0oxnq2qxcpomaaujy8k_2xu0oxnq2qxcpomaaujy8k","dance monkey","tones and i","100","dance monkey (stripped back) / dance monkey",17,10,"2019","post-teen alternative, indie, pop (large variety)","pop","post-teen pop","0.824","0.588","6","-6.4","0","0.0924","0.692","0.000104","0.149","0.513","98.027","209438"
"76bvw5edyhm1b3dfsotoyg_76bvw5edyhm1b3dfsotoyg_76bvw5edyhm1b3dfsotoyg","the kids are coming","tones and i","69","the kids are coming",29,8,"2019","post-teen alternative, indie, pop (large variety)","pop","post-teen pop","0.753","0.566","9","-8.21","0","0.298","0.193","6.31e-05","0.14","0.154","135.039","204521"
"7boobd8k8abltflzgxct5g_7boobd8k8abltflzgxct5g_7boobd8k8abltflzgxct5g","johnny run away","tones and i","71","the kids are coming",29,8,"2019","post-teen alternative, indie, pop (large variety)","pop","post-teen pop","0.799","0.538","2","-4.775","1","0.0622","0.642","1.23e-06","0.107","0.582","92.452","192346"
"4krt3ccwp0uyeqh4hhvxzs_4krt3ccwp0uyeqh4hhvxzs_4krt3ccwp0uyeqh4hhvxzs","jimmy","tones and i","68","the kids are coming",29,8,"2019","post-teen alternative, indie, pop (large variety)","pop","post-teen pop","0.592","0.464","8","-5.956","1","0.0346","0.473","1.13e-06","0.125","0.182","68.11","223620"
"2kjwzbxv2ppxnqoyw4glbz_2kjwzbxv2ppxnqoyw4glbz_2kjwzbxv2ppxnqoyw4glbz","if the world was ending (feat. julia michaels)","jp saxe","88","if the world was ending (feat. julia michaels)",17,10,"2019","post-teen alternative, indie, pop (large variety)","pop","post-teen pop","0.464","0.473","1","-10.086","1","0.129","0.866","0","0.109","0.604","75.801","208687"
"5fmbkja4mtezkjq8b1tgsn_5fmbkja4mtezkjq8b1tgsn_5fmbkja4mtezkjq8b1tgsn","colourblind","tones and i","67","the kids are coming",29,8,"2019","post-teen alternative, indie, pop (large variety)","pop","post-teen pop","0.493","0.154","9","-9.996","0","0.0367","0.729","0","0.0747","0.115","98.38","206094"
"7dontk2gvfrwjh0hkhe5wq_7dontk2gvfrwjh0hkhe5wq_7dontk2gvfrwjh0hkhe5wq","easy","camila cabello","73","romance",6,12,"2019","post-teen alternative, indie, pop (large variety)","pop","post-teen pop","0.574","0.593","4","-5.731","0","0.0463","0.411","1.55e-06","0.0966","0.355","128.073","194686"
"4hbvwhhyo7yiyxkudrohzs_4hbvwhhyo7yiyxkudrohzs_4hbvwhhyo7yiyxkudrohzs","trampoline","shaed","65","melt (deluxe)",27,12,"2019","post-teen alternative, indie, pop (large variety)","pop","post-teen pop","0.619","0.459","7","-5.782","0","0.0334","0.56","0","0.137","0.498","126.803","184280"
"073ilu1c3apnrgf66vhtya_073ilu1c3apnrgf66vhtya_073ilu1c3apnrgf66vhtya","liar","camila cabello","77","romance",6,12,"2019","post-teen alternative, indie, pop (large variety)","pop","post-teen pop","0.74","0.498","11","-6.684","0","0.0456","0.0169","0.00282","0.319","0.652","98.016","207039"
"2ogkhhomclkfxek7zgxahn_2ogkhhomclkfxek7zgxahn_2ogkhhomclkfxek7zgxahn","shameless","camila cabello","73","romance",6,12,"2019","post-teen alternative, indie, pop (large variety)","pop","post-teen pop","0.377","0.651","4","-5.437","0","0.0588","0.0197","5.31e-05","0.174","0.0851","129.698","219742"
"1mpd5q8im32i4bf6ecpu74_1mpd5q8im32i4bf6ecpu74_1mpd5q8im32i4bf6ecpu74","up all night","khalid","87","up all night",14,11,"2019","post-teen alternative, indie, pop (large variety)","pop","post-teen pop","0.665","0.712","1","-7.536","1","0.0527","0.00103","0.00342","0.102","0.669","93.989","157220"
"0g7ik0gmxjbfjkamk2p1k9_0g7ik0gmxjbfjkamk2p1k9_0g7ik0gmxjbfjkamk2p1k9","someone new","astrid s","60","someone new",1,2,"2019","post-teen alternative, indie, pop (large variety)","pop","post-teen pop","0.881","0.697","0","-5.613","1","0.27","0.129","1.39e-06","0.0834","0.434","97.012","176618"
"6l7lx8hjxviuyprtaabpqk_6l7lx8hjxviuyprtaabpqk_6l7lx8hjxviuyprtaabpqk","ready","alessia cara","77","ready",22,7,"2019","post-teen alternative, indie, pop (large variety)","pop","post-teen pop","0.529","0.496","0","-6.668","0","0.151","0.214","0","0.212","0.588","74.619","178747"
"1cl3ucxzg2hj3xoupiwdvz_1cl3ucxzg2hj3xoupiwdvz_1cl3ucxzg2hj3xoupiwdvz","feelings","lauv","69","how im feeling",14,11,"2019","post-teen alternative, indie, pop (large variety)","pop","post-teen pop","0.694","0.466","9","-6.758","1","0.0384","0.0934","0","0.098","0.246","103.018","189613"
"3lp8xd2k7twly32spvxkvf_3lp8xd2k7twly32spvxkvf_3lp8xd2k7twly32spvxkvf","lonely","noah cyrus","75","lonely",27,9,"2019","post-teen alternative, indie, pop (large variety)","pop","post-teen pop","0.594","0.26","5","-9.062","1","0.0601","0.779","0","0.0924","0.303","84.648","144387"
"5i2jgf65phksfmejsmrbc3_5i2jgf65phksfmejsmrbc3_5i2jgf65phksfmejsmrbc3","jesus in la","alec benjamin","77","jesus in la",16,7,"2019","post-teen alternative, indie, pop (large variety)","pop","post-teen pop","0.767","0.627","0","-4.096","1","0.0401","0.537","0","0.359","0.689","94.028","172606"
"7vlr7ndaadixfwjl2nw5nr_7vlr7ndaadixfwjl2nw5nr_7vlr7ndaadixfwjl2nw5nr","haloes","ina wroldsen","64","haloes",20,9,"2019","post-teen alternative, indie, pop (large variety)","pop","post-teen pop","0.704","0.719","3","-4.05","1","0.0343","0.42","0","0.18","0.33","103.018","171344"
"2gdxqw8nwoeh8tkysg6nym_2gdxqw8nwoeh8tkysg6nym_2gdxqw8nwoeh8tkysg6nym","torn","ava max","81","torn",19,8,"2019","post-teen alternative, indie, pop (large variety)","pop","post-teen pop","0.664","0.831","2","-4.472","0","0.0435","0.111","1.42e-06","0.0596","0.696","125.058","198006"
"7uyix9o9dy6l1d3hiwhr1j_7uyix9o9dy6l1d3hiwhr1j_7uyix9o9dy6l1d3hiwhr1j","freaking me out","ava max","76","freaking me out",31,7,"2019","post-teen alternative, indie, pop (large variety)","pop","post-teen pop","0.429","0.553","1","-4.838","0","0.0669","0.458","0","0.0766","0.382","97.954","192456"
"25sgk305kzfyuqvbqiahim_25sgk305kzfyuqvbqiahim_25sgk305kzfyuqvbqiahim","sweet but psycho","ava max","87","sweet but psycho",17,8,"2018","post-teen alternative, indie, pop (large variety)","pop","post-teen pop","0.719","0.704","1","-4.724","1","0.0476","0.0691","0","0.166","0.628","133.002","187436"
"0uunn1nsoux1a4fkdcwdq7_0uunn1nsoux1a4fkdcwdq7_0uunn1nsoux1a4fkdcwdq7","so am i","ava max","83","so am i",7,3,"2019","post-teen alternative, indie, pop (large variety)","pop","post-teen pop","0.682","0.656","6","-4.67","1","0.0435","0.0737","0","0.353","0.607","130.089","183027"
"3gj6t0hktmto4aq3sxjvk2_3gj6t0hktmto4aq3sxjvk2_3gj6t0hktmto4aq3sxjvk2","my way","ava max","62","my way",20,4,"2018","post-teen alternative, indie, pop (large variety)","pop","post-teen pop","0.685","0.621","9","-4.877","0","0.0412","0.0623","0","0.0901","0.396","100.004","141598"
"2wengtypsyhxl1sn1pnc7x_2wengtypsyhxl1sn1pnc7x_2wengtypsyhxl1sn1pnc7x","slow dance (feat. ava max) - sam feldt remix","aj mitchell","70","slow dance (feat. ava max) [sam feldt remix]",25,10,"2019","post-teen alternative, indie, pop (large variety)","pop","post-teen pop","0.732","0.85","1","-5.999","1","0.0444","0.114","2.02e-06","0.0388","0.372","124.024","193548"
"3g0meqx3ntanaclseop0gw_3g0meqx3ntanaclseop0gw_3g0meqx3ntanaclseop0gw","takeaway","the chainsmokers","85","world war joy",6,12,"2019","post-teen alternative, indie, pop (large variety)","pop","post-teen pop","0.528","0.511","3","-8.144","1","0.0324","0.126","0","0.101","0.351","100.1","209880"
"2gmxnyrvijhvbuzwvlzdmp_2gmxnyrvijhvbuzwvlzdmp_2gmxnyrvijhvbuzwvlzdmp","before you go","lewis capaldi","83","divinely uninspired to a hellish extent (extended edition)",22,11,"2019","post-teen alternative, indie, pop (large variety)","pop","post-teen pop","0.459","0.575","3","-4.858","1","0.0573","0.604","0","0.0885","0.183","111.881","215107"
"2i43coebzfstmgo3kcjlmb_2i43coebzfstmgo3kcjlmb_2i43coebzfstmgo3kcjlmb","daylight","matt and kim","10","grand",NA,NA,"2009","post-teen alternative, indie, pop (large variety)","pop","post-teen pop","0.583","0.79","9","-4.885","1","0.0319","0.0851","0.000387","0.11","0.714","103.286","171333"
"1d1nixovwoxvnfwi0ud7vx_1d1nixovwoxvnfwi0ud7vx_1d1nixovwoxvnfwi0ud7vx","unwritten","natasha bedingfield","76","unwritten",30,8,"2004","post-teen alternative, indie, pop (large variety)","pop","post-teen pop","0.706","0.801","5","-6.333","1","0.0399","0.00577","0","0.0822","0.63","100.013","259333"
"0xmd5bcwtbyxs7wprbtza6_0xmd5bcwtbyxs7wprbtza6_0xmd5bcwtbyxs7wprbtza6","burn","ellie goulding","65","halcyon days",1,1,"2013","post-teen alternative, indie, pop (large variety)","pop","post-teen pop","0.559","0.777","1","-5.031","1","0.0432","0.31","5.73457444396336","0.105","0.329","87.016","231212"
"5ka2ajep9oavu5sgduhiex_5ka2ajep9oavu5sgduhiex_5ka2ajep9oavu5sgduhiex","applause","lady gaga","70","artpop",11,11,"2013","post-teen alternative, indie, pop (large variety)","pop","post-teen pop","0.669","0.78","7","-4.287","0","0.053","0.0265","1.63e-06","0.143","0.738","139.945","212333"
"0qkwikh5z3u0f79t9iuf6c_0qkwikh5z3u0f79t9iuf6c_0qkwikh5z3u0f79t9iuf6c","judas","lady gaga","56","born this way",1,1,"2011","post-teen alternative, indie, pop (large variety)","pop","post-teen pop","0.661","0.937","10","-3.83","0","0.0744","0.000967","1.59e-05","0.355","0.535","131.001","249067"
"1uxbwhhfgsxcukfszw5zj0_1uxbwhhfgsxcukfszw5zj0_1uxbwhhfgsxcukfszw5zj0","run the world (girls)","beyonce","75","4",24,6,"2011","post-teen alternative, indie, pop (large variety)","pop","post-teen pop","0.733","0.899","0","-4.237","1","0.143","0.00496","4.72e-05","0.372","0.76","127.086","236093"
"4h8vwcb1mtgolkueq1wgbd_4h8vwcb1mtgolkueq1wgbd_4h8vwcb1mtgolkueq1wgbd","wake me up","avicii","84","true",1,1,"2013","post-teen alternative, indie, pop (large variety)","pop","post-teen pop","0.532","0.783","2","-5.697","1","0.0523","0.0038","0.0012","0.161","0.643","124.08","247427"
"6z8r6usfugxgtiixid8isb_6z8r6usfugxgtiixid8isb_6z8r6usfugxgtiixid8isb","safe and sound","capital cities","77","in a tidal wave of mystery (deluxe edition)",NA,NA,"2013","post-teen alternative, indie, pop (large variety)","pop","post-teen pop","0.655","0.819","0","-4.852","1","0.0316","0.000176","0.00374","0.104","0.766","117.956","192790"
"3llaycyu26dvfzbduimb7a_3llaycyu26dvfzbduimb7a_3llaycyu26dvfzbduimb7a","demons","imagine dragons","72","night visions",4,9,"2012","post-teen alternative, indie, pop (large variety)","pop","post-teen pop","0.505","0.71","3","-3.015","1","0.0321","0.19","0.00025","0.329","0.428","89.938","175200"
"5sf3gyleazjxxz5mbcpxtu_5sf3gyleazjxxz5mbcpxtu_5sf3gyleazjxxz5mbcpxtu","waves - robin schulz radio edit","mr. probz","76","waves (robin schulz radio edit)",7,2,"2014","post-teen alternative, indie, pop (large variety)","pop","post-teen pop","0.829","0.51","5","-9.334","0","0.0369","0.00821","0.0014","0.0829","0.45","119.993","208133"
"7iohfkiwrb75c4xaqx7wwo_7iohfkiwrb75c4xaqx7wwo_7iohfkiwrb75c4xaqx7wwo","this is love","will.i.am","60","willpower (deluxe)",1,1,"2013","post-teen alternative, indie, pop (large variety)","pop","post-teen pop","0.535","0.796","0","-3.446","0","0.0445","0.00473","0","0.145","0.282","128.952","279027"
"3chyregdyyrjgjksoiotcs_3chyregdyyrjgjksoiotcs_3chyregdyyrjgjksoiotcs","timber (feat. ke$ha)","pitbull","76","global warming: meltdown (deluxe version)",NA,NA,"2012","post-teen alternative, indie, pop (large variety)","pop","post-teen pop","0.581","0.963","11","-4.087","1","0.0981","0.0295","0","0.139","0.788","129.992","204160"
"4qnpbfc0zvjkqpjcyqby9w_4qnpbfc0zvjkqpjcyqby9w_4qnpbfc0zvjkqpjcyqby9w","give me everything","pitbull","79","planet pit (deluxe version)",17,6,"2011","post-teen alternative, indie, pop (large variety)","pop","post-teen pop","0.671","0.939","8","-3.206","1","0.161","0.192","0","0.298","0.529","129.023","252307"
"1ohnvjvbfkexqc0bpqp7y4_1ohnvjvbfkexqc0bpqp7y4_1ohnvjvbfkexqc0bpqp7y4","starships","nicki minaj","69","pink friday ... roman reloaded",1,1,"2011","post-teen alternative, indie, pop (large variety)","pop","post-teen pop","0.747","0.716","11","-2.457","0","0.075","0.135","0","0.251","0.751","125.008","210627"
"1mtuq6wp1eq8pc6bbpcj8p_1mtuq6wp1eq8pc6bbpcj8p_1mtuq6wp1eq8pc6bbpcj8p","i took a pill in ibiza - seeb remix","mike posner","73","at night, alone.",6,5,"2016","post-teen alternative, indie, pop (large variety)","pop","post-teen pop","0.663","0.713","7","-6.647","0","0.112","0.0353","7.68e-06","0.0843","0.69","101.965","197933"
"3gbbptdy8lnqwqxnccf795_3gbbptdy8lnqwqxnccf795_3gbbptdy8lnqwqxnccf795","pompeii","bastille","70","bad blood",1,1,"2013","post-teen alternative, indie, pop (large variety)","pop","post-teen pop","0.679","0.715","9","-6.383","1","0.0407","0.0755","0","0.271","0.571","127.435","214148"
"0sf12qnh5qcw8qpgymfoqd_0sf12qnh5qcw8qpgymfoqd_0sf12qnh5qcw8qpgymfoqd","blinding lights","the weeknd","98","blinding lights",29,11,"2019","post-teen alternative, indie, pop (large variety)","pop","post-teen pop","0.513","0.796","1","-4.075","1","0.0629","0.00147","0.000209","0.0938","0.345","171.017","201573"
"6tfexwjihjrubw3mfpib6j_6tfexwjihjrubw3mfpib6j_6tfexwjihjrubw3mfpib6j","dance","clmd","76","dance",18,10,"2019","post-teen alternative, indie, pop (large variety)","pop","post-teen pop","0.766","0.548","7","-7.834","1","0.0373","0.0263","7.22332683964632","0.21","0.552","122.012","174448"
"0eqjy4vaw7akhkihzxx3jg_0eqjy4vaw7akhkihzxx3jg_0eqjy4vaw7akhkihzxx3jg","the first one","astrid s","67","the first one",24,5,"2019","post-teen alternative, indie, pop (large variety)","pop","post-teen pop","0.538","0.541","7","-8.304","1","0.16","0.39","0","0.103","0.183","159.419","188650"
"3gicyfievmgongzygpwjnt_3gicyfievmgongzygpwjnt_3gicyfievmgongzygpwjnt","grip","seeb","73","grip",6,12,"2018","post-teen alternative, indie, pop (large variety)","pop","post-teen pop","0.598","0.904","4","-2.293","1","0.0507","0.331","0","0.264","0.503","138.091","198075"
"1e9ozccix42njl0acqrivo_1e9ozccix42njl0acqrivo_1e9ozccix42njl0acqrivo","watermelon sugar","harry styles","90","watermelon sugar",17,11,"2019","post-teen alternative, indie, pop (large variety)","pop","post-teen pop","0.548","0.816","0","-4.209","1","0.0465","0.122","0","0.335","0.557","95.39","174000"
"1rfofaqepacxvehizbje6w_1rfofaqepacxvehizbje6w_1rfofaqepacxvehizbje6w","havana (feat. young thug)","camila cabello","84","camila",12,1,"2018","post pop teen","pop","post-teen pop","0.765","0.523","2","-4.333","1","0.03","0.184","3.4639730165014","0.132","0.394","104.988","217307"
"2fzqijew3nkne99s2pkzul_2fzqijew3nkne99s2pkzul_2fzqijew3nkne99s2pkzul","bad liar","selena gomez","73","bad liar",18,5,NA,"post pop teen","pop","post-teen pop","0.965","0.414","1","-6.408","1","0.0713","0.189","0","0.0767","0.728","121.032","214648"
"10gjqkjrjczhgtlagfoc62_10gjqkjrjczhgtlagfoc62_10gjqkjrjczhgtlagfoc62","most girls","hailee steinfeld","76","most girls",28,4,NA,"post pop teen","pop","post-teen pop","0.756","0.572","9","-7.019","1","0.0763","0.0478","0","0.0853","0.417","102.986","204400"
"4ro98rck90ohqqszuntfq5_4ro98rck90ohqqszuntfq5_4ro98rck90ohqqszuntfq5","strip that down","liam payne","74","strip that down",18,5,NA,"post pop teen","pop","post-teen pop","0.874","0.497","6","-5.484","1","0.0562","0.22","5.00229074954987","0.0761","0.542","106.023","204502"
"2zff6jg5hqarbzcxz3kuwk_2zff6jg5hqarbzcxz3kuwk_2zff6jg5hqarbzcxz3kuwk","cool for the summer","demi lovato","70","confident (deluxe edition)",1,1,"2015","post pop teen","pop","post-teen pop","0.583","0.61","5","-5.639","0","0.0382","0.00425","0.000105","0.14","0.336","114.06","214740"
"09ctpgipyb4bro8qb1rgsf_09ctpgipyb4bro8qb1rgsf_09ctpgipyb4bro8qb1rgsf","sorry","justin bieber","81","purpose (deluxe)",13,11,"2015","post pop teen","pop","post-teen pop","0.654","0.76","0","-3.669","0","0.045","0.0797","0","0.299","0.41","99.945","200787"
"1u8c2t2cy7ubog4arrcf5g_1u8c2t2cy7ubog4arrcf5g_1u8c2t2cy7ubog4arrcf5g","blank space","taylor swift","78","1989 (deluxe)",1,1,"2014","post pop teen","pop","post-teen pop","0.76","0.703","5","-5.412","1","0.054","0.103","0","0.0913","0.57","95.997","231827"
"3qgsuhi8jo1rx4jwluh9jd_3qgsuhi8jo1rx4jwluh9jd_3qgsuhi8jo1rx4jwluh9jd","treat you better","shawn mendes","83","illuminate",20,4,NA,"post pop teen","pop","post-teen pop","0.444","0.819","10","-4.078","0","0.341","0.106","0","0.107","0.747","82.695","187973"
"6zanrvuamp2rpjhfboujly_6zanrvuamp2rpjhfboujly_6zanrvuamp2rpjhfboujly","same old love","selena gomez","68","revival (deluxe)",9,10,"2015","post pop teen","pop","post-teen pop","0.672","0.593","11","-4.01","0","0.0304","0.0223","0","0.214","0.438","98.02","229080"
"3e9hzxeyfwwjeypammwssq_3e9hzxeyfwwjeypammwssq_3e9hzxeyfwwjeypammwssq","thank u, next","ariana grande","87","thank u, next",8,2,"2019","post pop teen","pop","post-teen pop","0.717","0.653","1","-5.634","1","0.0658","0.229","0","0.101","0.412","106.966","207320"
"2dpcdpmg1bade4hdnxt3rd_2dpcdpmg1bade4hdnxt3rd_2dpcdpmg1bade4hdnxt3rd","sit still, look pretty","daya","59","sit still, look pretty",6,1,NA,"post pop teen","pop","post-teen pop","0.655","0.787","2","-3.031","1","0.264","0.122","3.11e-06","0.178","0.554","181.799","202227"
